ISO3,Country / Territory,Year,Event Name,Date of Event (start),Disaster Internal Displacements,Disaster Internal Displacements (Raw),Hazard Category,Hazard Type,Hazard Sub Type,Name,Conflict Stock Displacement,Conflict Stock Displacement (Raw),Conflict Internal Displacements,Conflict Internal Displacements (Raw)
IDN,Indonesia,2021,Indonesia: Flood - Central Java - 01/01/2021,2021-01-01,11000.0,11374.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - Gorontalo - 01/01/2021,2021-01-01,380.0,385.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - West Sumatra - 01/01/2021,2021-01-01,1100.0,1109.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - West Sulawesi - 01/01/2021,2021-01-01,670.0,667.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - South Sulawesi - 01/01/2021,2021-01-01,6500.0,6517.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - Southeast Sulawesi - 01/01/2021,2021-01-01,330.0,334.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - West Nusa Tenggara - 01/01/2021,2021-01-01,9100.0,9055.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - Aceh - 01/01/2021,2021-01-01,68000.0,67634.0,Weather related,Flood,Conflict-Violence,,,,,
BGD,Bangladesh,2021,"India, Bangladesh: Tropical Cyclone Yaas - 23/05/2021",2021-05-23,18000.0,17567.0,Weather related,Storm,Conflict-Violence,,,,,
IND,India,2021,"India, Bangladesh: Tropical Cyclone Yaas - 23/05/2021",2021-05-23,2225000.0,2225340.0,Weather related,Storm,Conflict-Violence,,,,,
UKR,Ukraine,2021,Ukraine: Flood - Crimea (Bakhchysarai region) - 04/07/2021,2021-07-04,160.0,164.0,Weather related,Flood,Conflict-Violence,,,,,
UKR,Ukraine,2021,Ukraine: Floods - Odesa and Zaporizhzhia Oblasts - 22/07/2021,2021-07-22,50.0,50.0,Weather related,Flood,Conflict-Violence,,,,,
YEM,"Yemen, Rep.",2021,"Yemen: Drought, Desertification, Heatwave - Hadramaut - 25/01//2021",2021-01-25,12.0,12.0,Weather related,Drought,Conflict-Violence,,,,,
PRT,Portugal,2021,Portugal: Storm - Açores (Ilha de São Miguel) - 30/12/2021,2021-12-30,14.0,14.0,Weather related,Storm,Conflict-Violence,,,,,
AUT,Austria,2021,Austria: Storm - Salzburg (Wald im Pinzgau) - 15/08/2021,2021-08-15,11.0,11.0,Weather related,Storm,Conflict-Violence,,,,,
CAF,Central African Republic,2022,CAR: Heavy Rains & Strong Winds - Vakaga - April 2022,2022-04-01,710.0,714.0,Weather related,Storm,Conflict-Violence,,,,,
LKA,Sri Lanka,2022,Sri Lanka: Flood - Sabaragamuwa (Rathnapura/Rathnapura) -13/05/2022,2022-05-13,210.0,209.0,Weather related,Flood,Conflict-Violence,,,,,
LKA,Sri Lanka,2022,Sri Lanka: Storm [monsoon]- Northern (Mulaitivu/Puthukuduiruppu) -16/05/2022,2022-05-16,3.0,3.0,Weather related,Flood,Conflict-Violence,,,,,
LKA,Sri Lanka,2022,Sri Lanka: Flood [monsoon] - North Western (Puttalam/Puttalam) - 24/05/2022,2022-05-24,420.0,420.0,Weather related,Flood,Conflict-Violence,,,,,
LKA,Sri Lanka,2022,Sri Lanka: Storm [monsoon] - Sabaragamuwa (Rathnapura/Rathnapura) - 31/05/2022,2022-05-31,61.0,61.0,Weather related,Storm,Conflict-Violence,,,,,
RWA,Rwanda,2022,Rwanda: Heavy Rains - Western Province - April 2022,2022-04-01,430.0,426.0,Weather related,Storm,Conflict-Violence,,,,,
AFG,Afghanistan,2022,Afghanistan: Flood - Hilmand (3 Districts) - 04/01/2022,2022-01-04,620.0,622.0,Weather related,Flood,Conflict-Violence,,,,,
AFG,Afghanistan,2022,Afghanistan: Storm - Badakhshan (Fayzabad) - 18/01/2022,2022-01-18,150.0,148.0,Weather related,Storm,Conflict-Violence,,,,,
LKA,Sri Lanka,2022,Sri Lanka: Storm [monsoon] - Western (Colombo/Jayawardhanapura) - 31/05/2022,2022-05-31,180.0,175.0,Weather related,Storm,Conflict-Violence,,,,,
AFG,Afghanistan,2022,Afghanistan: Storm - Balkh (Nahri Shahi) - 29/01/2022,2022-01-29,15.0,15.0,Weather related,Storm,Conflict-Violence,,,,,
MYS,Malaysia,2022,Malaysia: Flood - Pahang - 25/02/2022,2022-02-25,92.0,92.0,Weather related,Flood,Conflict-Violence,,,,,
AFG,Afghanistan,2022,Afghanistan: Flood - Nimroz (3 Districts) - 05/01/2022,2022-01-05,510.0,511.0,Weather related,Flood,Conflict-Violence,,,,,
MYS,Malaysia,2022,Malaysia: Flood - Perak - 15/03/2022,2022-03-15,14.0,14.0,Weather related,Flood,Conflict-Violence,,,,,
AFG,Afghanistan,2022,Afghanistan: Flood - Zabul (Qalat) - 15/01/2022,2022-01-15,190.0,192.0,Weather related,Flood,Conflict-Violence,,,,,
AFG,Afghanistan,2022,Afghanistan: Storm - Kunar (Asadabad) - 09/03/2022,2022-03-09,72.0,72.0,Weather related,Storm,Conflict-Violence,,,,,
AFG,Afghanistan,2022,Afghanistan: Storm - Nangarhar (6 Districts) - 07/01/2022,2022-01-07,140.0,141.0,Weather related,Storm,Conflict-Violence,,,,,
AFG,Afghanistan,2022,"Afghanistan: Storm - Laghman (Mehtarlam, Alingar) - 23/01/2022",2022-01-23,22.0,22.0,Weather related,Storm,Conflict-Violence,,,,,
AFG,Afghanistan,2022,Afghanistan: Winter Storm - Parwan (Chaharikar) - 09/01/2022,2022-01-09,74.0,74.0,Weather related,Storm,Conflict-Violence,,,,,
IDN,Indonesia,2022,Indonesia: Tornado - West Java (Bogor) - 01/03/2022,2022-03-01,4.0,4.0,Weather related,Storm,Conflict-Violence,,,,,
AFG,Afghanistan,2022,Afghanistan: Storm - Khost (3 Districts) - 06/01/2022,2022-01-06,74.0,74.0,Weather related,Storm,Conflict-Violence,,,,,
AFG,Afghanistan,2022,Afghanistan: Flood - Kunduz (Dashte Archi) - 16/03/2022,2022-03-16,32.0,32.0,Weather related,Flood,Conflict-Violence,,,,,
AFG,Afghanistan,2022,"Afghanistan: Flood - Sar-e-Pul (Sozma Qala,Sangcharak) - 16/03/2022",2022-03-16,110.0,113.0,Weather related,Flood,Conflict-Violence,,,,,
AFG,Afghanistan,2022,"Afghanistan: Flood - Nangarhar (Lal Por,Kama,Goshta) - 18/03/2022",2022-03-18,96.0,96.0,Weather related,Flood,Conflict-Violence,,,,,
AFG,Afghanistan,2022,"Afghanistan: Storm - Takhar (Warsaj,Farkhar) - 24/03/2022",2022-03-24,48.0,48.0,Weather related,Storm,Conflict-Violence,,,,,
DEU,Germany,2022,Germany: Wildfires - Brandenburg (Treuenbrietzen and Beelitz) - 17/06/2022,2022-06-17,620.0,620.0,Weather related,Wildfire,Conflict-Violence,,,,,
IDN,Indonesia,2022,Indonesia: Landslide - Central Java (Grobogan) - 08/02/2022,2022-02-08,4.0,4.0,Weather related,Mass Movement,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Strong Winds - Ngozi - March 2022,2022-03-01,95.0,95.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Strong Winds - Bubanza - March 2022,2022-03-01,140.0,141.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Torrential Rains - Bujumbura Mairie - March 2022,2022-03-01,200.0,196.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Strong Winds - Cibitoke - March 2022,2022-03-01,210.0,214.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Strong Winds - Rumonge - March 2022,2022-03-01,76.0,76.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Torrential Rains - Rumonge - March 2022,2022-03-01,290.0,290.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Torrential Rains - Ngozi - March 2022,2022-03-01,15.0,15.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Torrential Rains - Cibitoke - March 2022,2022-03-01,180.0,177.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Landslides - Bujumbura Mairie - April 2022,2022-04-01,42.0,42.0,Weather related,Mass Movement,Conflict-Violence,,,,,
IDN,Indonesia,2022,Indonesia: Tornado - West Java (Bogor) - 23/02/2022,2022-02-23,4.0,4.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Torrential Rains - Muyinga - April 2022,2022-04-01,24.0,24.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Hailstorms - Kirundo - April 2022,2022-04-01,12.0,12.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Torrential Rains - Kayanza - April 2022,2022-04-01,17.0,17.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Torrential Rains - Ngozi - April 2022,2022-04-01,15.0,15.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Torrential Rains - Rumonge - April 2022,2022-04-01,32.0,32.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Landslides - Rumonge - April 2022,2022-04-01,39.0,39.0,Weather related,Mass Movement,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Landslides - Rumonge - May 2022,2022-05-01,270.0,274.0,Weather related,Mass Movement,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Torrential Rains - Cibitoke - May 2022,2022-05-01,67.0,67.0,Weather related,Storm,Conflict-Violence,,,,,
IDN,Indonesia,2022,Indonesia: Tornado - West Java (Bogor) - 25/02/2022,2022-02-25,4.0,4.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Strong Winds - Cibitoke - April 2022,2022-04-01,440.0,439.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2022,Burundi: Torrential Rains - Cibitoke - April 2022,2022-04-01,100.0,102.0,Weather related,Storm,Conflict-Violence,,,,,
CAN,Canada,2022,Canada: Wildfire - Ontario (Shining Tree) - 10/05/2022,2022-05-10,100.0,100.0,Weather related,Wildfire,Conflict-Violence,,,,,
CAN,Canada,2022,Canada: Landslide - Quebec (Saguenay) - 13/06/2022,2022-06-13,190.0,187.0,Weather related,Mass Movement,Conflict-Violence,,,,,
IDN,Indonesia,2022,Indonesia: Tornado - West Java (Bogor) - 27/02/2022,2022-02-27,4.0,4.0,Weather related,Storm,Conflict-Violence,,,,,
